Country,2011,2012,2013,2014
Ghana,10803.1,12876.5,13899.7,13366.7
Lebanon,21175.1,23470.1,23244.5,25151
Namibia,3303.8,3507.4,3762.4,3932.1
Pakistan,141690,143819.1,145993.7,154235.2
Philippines,82544.5,86165,95504.1,101822.5
Thailand,138968.5,156286,164681,161377
Uganda,3744.2,3777.1,3694.3,4112.2
South Africa,109480.3,127001.7,137261.7,148298.1
Zimbabwe,11357.6,11954.9,12216.8,12010.7
