Country,2017,2018,2019,2020
Ghana,65.33245074,68.27960911,70.00862493,73.07978379
Lebanon,98.72019313,97.37003515,99.55955551,99.84713662
Namibia,31.59785388,30.23613096,31.15241024,32.15241024
Pakistan,89.13969697,90.10956657,90.74120583,91.45523249
Philippines,90.02316666,91.31737377,93.02397832,94.74248663
Thailand,99.9,99.73018341,99.9,100
Uganda,23.02096902,32.54463675,31.79895602,32.83948259
South Africa,79.08435712,79.74003482,80.42592211,95.53440738
Zimbabwe,24.24416964,26.37913794,28.28495953,37.06024777
