Country,2011,2012,2013,2014
Ghana,305.312448,331.2140746,363.4071951,339.1927426
Lebanon,3040.005899,2660.506645,2880.512273,2583.378464
Namibia,1629.196094,1681.684176,1714.666751,1674.988107
Pakistan,399.3399124,396.2694237,426.4343998,419.6845943
Philippines,638.3364356,658.5685412,677.2811187,690.7659626
Thailand,2244.049097,2396.936606,2462.926749,2483.557147
Uganda,206.6852326,218.5539218,278.808255,310.0816685
South Africa,4528.050043,4340.367989,4270.810409,4183.82749
Zimbabwe,629.8276841,601.8696405,619.2356092,597.2970217
