Country,2011,2012,2013,2014
Ghana,301.70651,318.5906335,325.2470055,320.3896404
Lebanon,1257.949961,1384.822,1245.212984,1194.330019
Namibia,744.8938725,759.3922869,787.8381137,805.0745408
Pakistan,431.3129913,428.5278012,432.2313469,431.6268634
Philippines,422.1258146,441.229202,449.2949341,470.4966536
Thailand,1712.937127,1824.78102,1950.544407,1926.160101
Uganda,231.3129913,238.5278012,242.2313469,331.6268634
South Africa,2693.910674,2621.186913,2593.835487,2686.376196
Zimbabwe,787.0300331,814.9102348,832.5722357,850.234
